id,kode_provinsi,nama_provinsi,kode_kabko,nama_kabko,kode_kecamatan,nama_kecamatan,kode_kelurahan,nama_kelurahan,deleted_at,created_at,updated_at
1,11,Aceh,1103,Kab. Aceh Timur,110314,Idi Tunong,1103142013,Buket Pu'uk,,12/2/2026 11:07:13,12/2/2026 11:07:13
2,11,Aceh,1103,Kab. Aceh Timur,110303,Idi Rayeuk,1103032009,Meunasah Pu'uk,,12/2/2026 11:07:13,12/2/2026 11:07:13
3,11,Aceh,1101,Kab. Aceh Selatan,110102,Kluet Utara,1101022018,Pasi Kuala Ba'u,,12/2/2026 11:07:13,12/2/2026 11:07:13
4,11,Aceh,1101,Kab. Aceh Selatan,110107,Sawang,1101072015,Sawang Ba'u,,12/2/2026 11:07:13,12/2/2026 11:07:13
5,11,Aceh,1118,Kab. Pidie Jaya,111806,Bandar Baru,1118062038,Abah Lueng,,12/2/2026 11:07:13,12/2/2026 11:07:13
6,11,Aceh,1109,Kab. Simeulue,110909,Teupah Tengah,1109092007,Abail,,12/2/2026 11:07:13,12/2/2026 11:07:13
7,11,Aceh,1111,Kab. Bireuen,111109,Juli,1111092013,Abeuk Budi,,12/2/2026 11:07:13,12/2/2026 11:07:13
8,11,Aceh,1103,Kab. Aceh Timur,110312,Madat,1103122014,Abeuk Geulanteu,,12/2/2026 11:07:13,12/2/2026 11:07:13
9,11,Aceh,1111,Kab. Bireuen,111110,Jangka,1111102027,Abeuk Jaloh,,12/2/2026 11:07:13,12/2/2026 11:07:13
10,11,Aceh,1108,Kab. Aceh Utara,110804,Lhoksukon,1108042019,Abeuk Leupon,,12/2/2026 11:07:13,12/2/2026 11:07:13
11,11,Aceh,1108,Kab. Aceh Utara,110815,Sawang,1108152002,Abeuk Reuling,,12/2/2026 11:07:13,12/2/2026 11:07:13
12,11,Aceh,1111,Kab. Bireuen,111104,Jeumpa,1111042060,Abeuk Tingkeum,,12/2/2026 11:07:13,12/2/2026 11:07:13
13,11,Aceh,1111,Kab. Bireuen,111104,Jeumpa,1111042058,Abeuk Usong,,12/2/2026 11:07:13,12/2/2026 11:07:13
14,11,Aceh,1107,Kab. Pidie,110716,Pidie,1107162043,Abo,,12/2/2026 11:07:13,12/2/2026 11:07:13
15,11,Aceh,1112,Kab. Aceh Barat Daya,111202,Tangan-Tangan,1112022001,Adan,,12/2/2026 11:07:13,12/2/2026 11:07:13
16,11,Aceh,1118,Kab. Pidie Jaya,111804,Bandar Dua,1118042025,Adan,,12/2/2026 11:07:13,12/2/2026 11:07:13
17,11,Aceh,1107,Kab. Pidie,110714,Padang Tiji,1107142041,Adang Beurabo,,12/2/2026 11:07:13,12/2/2026 11:07:13
18,11,Aceh,1103,Kab. Aceh Timur,110304,Birem Bayeun,1103042006,Afeling II Bukit,,12/2/2026 11:07:13,12/2/2026 11:07:13
19,11,Aceh,1113,Kab. Gayo Lues,111301,Blangkejeren,1113012027,Agusan,,12/2/2026 11:07:13,12/2/2026 11:07:13
20,11,Aceh,1101,Kab. Aceh Selatan,110108,Tapaktuan,1101082011,Air Berudang,,12/2/2026 11:07:13,12/2/2026 11:07:13
21,11,Aceh,1109,Kab. Simeulue,110904,Simeulue Timur,1109042012,Air Dingin,,12/2/2026 11:07:13,12/2/2026 11:07:13
22,11,Aceh,1116,Kab. Aceh Tamiang,111604,Seruway,1116042013,Air Masin,,12/2/2026 11:07:13,12/2/2026 11:07:13
23,11,Aceh,1101,Kab. Aceh Selatan,110108,Tapaktuan,1101082015,Air Pinang,,12/2/2026 11:07:13,12/2/2026 11:07:13
24,11,Aceh,1109,Kab. Simeulue,110904,Simeulue Timur,1109042024,Air Pinang,,12/2/2026 11:07:13,12/2/2026 11:07:13
25,11,Aceh,1101,Kab. Aceh Selatan,110106,Samadua,1101062024,Air Sialang Hilir.,,12/2/2026 11:07:13,12/2/2026 11:07:13
26,11,Aceh,1101,Kab. Aceh Selatan,110106,Samadua,1101062025,Air Sialang Hulu,,12/2/2026 11:07:13,12/2/2026 11:07:13
27,11,Aceh,1101,Kab. Aceh Selatan,110106,Samadua,1101062026,Air Sialang Tengah,,12/2/2026 11:07:13,12/2/2026 11:07:13
28,11,Aceh,1116,Kab. Aceh Tamiang,111603,Karang Baru,1116032013,Air Tenang,,12/2/2026 11:07:13,12/2/2026 11:07:13
29,11,Aceh,1106,Kab. Aceh Besar,110610,Ingin Jaya,1106102018,Ajee Cut,,12/2/2026 11:07:13,12/2/2026 11:07:13
30,11,Aceh,1106,Kab. Aceh Besar,110610,Ingin Jaya,1106102024,Ajee Pagar Air,,12/2/2026 11:07:13,12/2/2026 11:07:13
31,11,Aceh,1106,Kab. Aceh Besar,110610,Ingin Jaya,1106102017,Ajee Rayeuk,,12/2/2026 11:07:13,12/2/2026 11:07:13
32,11,Aceh,1106,Kab. Aceh Besar,110608,Peukan Bada,1106082025,Ajuen,,12/2/2026 11:07:13,12/2/2026 11:07:13
33,11,Aceh,1113,Kab. Gayo Lues,111306,Blangpegayon,1113062012,Akang Siwah,,12/2/2026 11:07:13,12/2/2026 11:07:13
34,11,Aceh,1102,Kab. Aceh Tenggara,110216,Leuser,1102162017,Akhih Majile,,12/2/2026 11:07:13,12/2/2026 11:07:13
35,11,Aceh,1118,Kab. Pidie Jaya,111806,Bandar Baru,1118062039,Aki Neungoh,,12/2/2026 11:07:13,12/2/2026 11:07:13
36,11,Aceh,1113,Kab. Gayo Lues,111309,Blangjerango,1113092003,Akul,,12/2/2026 11:07:13,12/2/2026 11:07:13
37,11,Aceh,1101,Kab. Aceh Selatan,110114,Kluet Timur,1101142003,Alai,,12/2/2026 11:07:13,12/2/2026 11:07:13
38,11,Aceh,1117,Kab. Bener Meriah,111710,Gajah Putih,1117102009,Alam Jaya,,12/2/2026 11:07:13,12/2/2026 11:07:13
39,11,Aceh,1102,Kab. Aceh Tenggara,110204,Babussalam,1102042023,Alas Marantcar,,12/2/2026 11:07:13,12/2/2026 11:07:13
40,11,Aceh,1102,Kab. Aceh Tenggara,110211,Babul Rahmah,1102112029,Alas Mesikhat,,12/2/2026 11:07:13,12/2/2026 11:07:13
41,11,Aceh,1108,Kab. Aceh Utara,110811,Syamtalira Bayu,1108112030,Alen,,12/2/2026 11:07:13,12/2/2026 11:07:13
42,11,Aceh,1108,Kab. Aceh Utara,110804,Lhoksukon,1108042056,Aleu Eumpok,,12/2/2026 11:07:13,12/2/2026 11:07:13
43,11,Aceh,1111,Kab. Bireuen,111103,Peudada,1111032037,Aleu Sijuk,,12/2/2026 11:07:13,12/2/2026 11:07:13
44,11,Aceh,1109,Kab. Simeulue,110902,Salang,1109022005,Along,,12/2/2026 11:07:13,12/2/2026 11:07:13
45,11,Aceh,1107,Kab. Pidie,110716,Pidie,1107162061,ALue,,12/2/2026 11:07:13,12/2/2026 11:07:13
46,11,Aceh,1107,Kab. Pidie,110731,Titeue,1107312013,Alue,,12/2/2026 11:07:13,12/2/2026 11:07:13
47,11,Aceh,1108,Kab. Aceh Utara,110812,Tanah Luas,1108122016,Alue,,12/2/2026 11:07:13,12/2/2026 11:07:13
48,11,Aceh,1108,Kab. Aceh Utara,110813,Tanah Pasir,1108132001,Alue,,12/2/2026 11:07:13,12/2/2026 11:07:13
49,11,Aceh,1118,Kab. Pidie Jaya,111806,Bandar Baru,1118062041,Alue,,12/2/2026 11:07:13,12/2/2026 11:07:13
50,11,Aceh,1114,Kab. Aceh Jaya,111406,Panga,1114062013,Alue Abed,,12/2/2026 11:07:13,12/2/2026 11:07:13
51,11,Aceh,1108,Kab. Aceh Utara,110804,Lhoksukon,1108042061,Alue Abee,,12/2/2026 11:07:13,12/2/2026 11:07:13
52,11,Aceh,1107,Kab. Pidie,110724,Mutiara Timur,1107242041,Alue Adan,,12/2/2026 11:07:13,12/2/2026 11:07:13
53,11,Aceh,1114,Kab. Aceh Jaya,111401,Teunom,1114012002,Alue Ambang,,12/2/2026 11:07:13,12/2/2026 11:07:13
54,11,Aceh,1108,Kab. Aceh Utara,110801,Baktiya,1108012005,Alue Anoe Barat,,12/2/2026 11:07:13,12/2/2026 11:07:13
55,11,Aceh,1108,Kab. Aceh Utara,110801,Baktiya,1108012004,Alue Anoe Timu,,12/2/2026 11:07:13,12/2/2026 11:07:13
56,11,Aceh,1108,Kab. Aceh Utara,110825,Geuredong Pase,1108252003,Alue Awe,,12/2/2026 11:07:13,12/2/2026 11:07:13
57,11,Aceh,1173,Kota Lhokseumawe,117301,Muara Dua,1173012002,Alue Awe,,12/2/2026 11:07:13,12/2/2026 11:07:13
58,11,Aceh,1108,Kab. Aceh Utara,110822,Simpang Kramat,1108222009,Alue Bade,,12/2/2026 11:07:13,12/2/2026 11:07:13
59,11,Aceh,1105,Kab. Aceh Barat,110507,Arongan Lambalek,1105072002,Alue Bagok,,12/2/2026 11:07:13,12/2/2026 11:07:13
60,11,Aceh,1105,Kab. Aceh Barat,110506,Bubon,1105062002,Alue Bakong,,12/2/2026 11:07:13,12/2/2026 11:07:13
61,11,Aceh,1111,Kab. Bireuen,111101,Samalanga,1111012023,Alue Barat,,12/2/2026 11:07:13,12/2/2026 11:07:13
62,11,Aceh,1101,Kab. Aceh Selatan,110105,Meukek,1101052009,Alue Baro,,12/2/2026 11:07:13,12/2/2026 11:07:13
63,11,Aceh,1108,Kab. Aceh Utara,110809,Seunuddon,1108092004,Alue Barueh,,12/2/2026 11:07:13,12/2/2026 11:07:13
64,11,Aceh,1115,Kab. Nagan Raya,111508,Tadu Raya,1115082001,Alue Bata,,12/2/2026 11:07:13,12/2/2026 11:07:13
65,11,Aceh,1103,Kab. Aceh Timur,110310,Rantau Peureulak,1103102021,Alue Batee,,12/2/2026 11:07:13,12/2/2026 11:07:13
66,11,Aceh,1103,Kab. Aceh Timur,110316,Peudawa,1103162004,Alue Batee,,12/2/2026 11:07:13,12/2/2026 11:07:13
67,11,Aceh,1105,Kab. Aceh Barat,110507,Arongan Lambalek,1105072004,Alue Batee,,12/2/2026 11:07:13,12/2/2026 11:07:13
68,11,Aceh,1115,Kab. Nagan Raya,111505,Darul Makmur,1115052047,Alue Bateung Brok,,12/2/2026 11:07:13,12/2/2026 11:07:13
69,11,Aceh,1111,Kab. Bireuen,111110,Jangka,1111102042,Alue Bayeu Utang,,12/2/2026 11:07:13,12/2/2026 11:07:13
70,11,Aceh,1174,Kota Langsa,117403,Langsa Kota,1174032007,Alue Beurawe,,12/2/2026 11:07:13,12/2/2026 11:07:13
71,11,Aceh,1111,Kab. Bireuen,111110,Jangka,1111102046,Alue Bie Pusong,,12/2/2026 11:07:13,12/2/2026 11:07:13
72,11,Aceh,1108,Kab. Aceh Utara,110816,Nisam,1108162033,Alue Bili,,12/2/2026 11:07:13,12/2/2026 11:07:13
